Row Labels,Count of Gini index,Count of Access to electricity (% of population),"Count of Access to electricity, rural (% of rural population)","Count of Access to electricity, urban (% of urban population)",Count of Adjusted net national income per capita (annual % growth),"Count of Communications, computer, etc. (% of service imports, BoP)","Count of Compulsory education, duration (years)","Count of Computer, communications and other services (% of commercial service imports)",Count of Cost of business start-up procedures (% of GNI per capita),"Count of Current education expenditure, total (% of total expenditure in public institutions)","Count of Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Count of Employment to population ratio, ages 15-24, total (%) (national estimate)",Count of Fixed broadband subscriptions,Count of GDP (current US$),Count of Individuals using the Internet (% of population),"Count of International tourism, expenditures (current US$)","Count of Labor force participation rate for ages 15-24, total (%) (national estimate)",Count of Labor force with advanced education (% of total working-age population with advanced education),"Count of Labor force, female (% of total labor force)","Count of School enrollment, tertiary (% gross)",Count of Technicians in R&D (per million people),Count of Urban population (% of total population),Count of Urban population growth (annual %),Count of Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Count of Fixed broadband subscriptions (per 100 people),"Count of Individuals using the Internet, female (% of female population)","Count of Individuals using the Internet, male (% of male population)",Count of Mobile cellular subscriptions,Count of Mobile cellular subscriptions (per 100 people)
Kuwait,,12,12,12,9,12,12,12,12,,,2,12,12,12,12,2,1,12,6,10,12,12,,12,3,3,12,12
Kyrgyz Republic,12,12,12,12,9,12,12,12,12,12,6,10,12,12,12,12,11,8,12,12,,12,12,12,12,,,12,12
Lao PDR,2,12,12,12,9,12,12,12,12,6,2,2,12,12,12,12,2,2,12,12,,12,12,2,12,,,12,12
Latvia,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,4,12,12,12,12,12,12,12,12
Lebanon,1,12,12,12,12,12,12,12,12,4,1,1,8,12,12,12,1,1,12,12,,12,12,1,8,,,12,12
Lesotho,1,12,11,12,12,12,10,12,12,2,2,3,12,12,12,12,3,1,12,6,3,12,12,1,12,1,1,12,12
Liberia,2,12,10,12,,12,12,12,12,1,4,4,11,12,12,2,4,4,12,2,,12,12,2,11,,,11,11
Libya,,12,5,12,9,12,12,12,8,,,1,11,12,7,10,1,,12,,,12,12,,11,,,11,11
Liechtenstein,,12,12,12,,,12,,2,3,,8,12,12,11,,8,,,11,,12,12,,12,,,12,12
Lithuania,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,,12,12,12,12,4,12,12,12,12,12,12,12,12
Luxembourg,12,12,12,12,12,12,12,12,12,7,10,12,12,12,12,12,12,12,12,8,10,12,12,12,12,12,12,12,12
"Macao SAR, China",,12,12,12,,12,12,12,,11,3,9,12,12,12,12,9,8,12,12,11,12,12,,12,11,11,12,12
Madagascar,2,12,5,12,12,12,12,12,12,4,2,2,12,12,12,12,2,2,12,12,7,12,12,2,12,,,12,12
Malawi,3,12,12,12,,12,12,12,12,6,2,3,12,12,12,12,3,3,12,2,1,12,12,3,12,,,12,12
Malaysia,5,12,12,12,12,12,12,12,12,11,6,7,12,12,12,12,7,9,12,12,9,12,12,5,12,7,7,12,12
Maldives,3,12,12,12,,12,12,12,12,8,3,4,12,12,12,12,4,4,12,4,,12,12,3,12,,,12,12
Mali,2,12,9,12,12,12,12,12,12,12,5,8,11,12,12,11,8,7,12,12,3,12,12,2,11,,,12,12
Malta,12,12,12,12,,12,12,12,9,11,10,12,12,12,12,,12,12,12,12,10,12,12,12,12,12,12,12,12
Marshall Islands,1,12,12,12,,12,12,12,12,1,2,1,7,12,10,11,1,1,,2,,12,12,1,7,,,4,4
Mauritania,3,12,5,12,12,8,12,8,12,,4,3,12,12,12,8,3,3,12,11,,12,12,3,12,,,12,12
Mauritius,2,12,12,12,12,12,12,12,12,1,9,12,12,12,12,12,12,11,12,12,2,12,12,2,12,8,8,12,12
Mexico,6,12,12,12,12,12,12,12,7,12,3,12,12,12,12,12,12,12,12,12,9,12,12,6,12,12,12,12,12
"Micronesia, Fed. Sts.",1,12,12,12,,6,4,6,12,,1,1,7,12,12,7,1,1,,,,12,12,1,7,,,10,10
Moldova,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,6,11,12,12,12,12,,,12,12
Monaco,,12,12,12,,,12,,,9,1,,12,12,11,,,1,,1,,12,12,,12,,,12,12
Mongolia,6,12,12,12,9,12,12,12,12,6,8,12,12,12,12,12,12,12,12,12,,12,12,6,12,2,2,12,12
Montenegro,8,12,12,12,12,12,12,12,12,,8,11,12,12,12,12,10,9,12,12,6,12,12,8,12,8,8,12,12
Morocco,1,12,12,12,12,12,12,12,12,,1,9,12,12,12,12,9,1,12,12,6,12,12,1,12,8,8,12,12
Mozambique,3,12,12,12,12,12,,12,12,2,,1,12,12,12,12,1,1,12,12,4,12,12,3,12,1,1,12,12
